id,name,beef_type,egg_type,coffee_type,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
325594,"PEIXE ESPADA GRELHADO, MAITRE D'HOTEL",False,False,False,,1,1,1939,1939,0,0
333801,FRESH FRUIT COCKTAIL EIRE STYLE,False,False,False,,1,1,1941,1941,0,0
136097,VELOUTE D'ASPERGES,False,False,False,,1,1,0,0,,
13571,"FILLET OF BEOUF, AUX CHAMPIGNONS",False,False,False,,2,2,1900,1900,0,0
168751,"HEARTS OF LETTUCE, FRENCH DRESSING",False,False,False,,20,21,1913,1964,0.3,0.6
497706,GREEN TURTLE EN TASSE,False,False,False,,1,1,1913,1913,,
509907,"1934 BRAUNEBERGER MOSEL, MAAS, NATHAN & CO",False,False,False,,1,1,1938,1938,0,0
453654,"ROQUEFORT, DOMESTIC",False,False,False,,2,1,0,0,0,0
434561,"SCOTCH, KING WILLIAM IV",False,False,False,,2,2,1914,1914,0.2,0.2
245089,SAUVIGNON BLANC *BARON BRIARE * 1984 * FRANCE,False,False,False,,1,1,1986,1986,2.75,10.95
273957,ARTICHAUTS A LA RUSSE,False,False,False,,1,1,1961,1961,0,0
100866,"VEAL CUTLET BROILED, FRIED OR BREADED",False,False,False,,1,1,1900,1900,0,0
349921,CANADA MUTTON CHOP,False,False,False,,33,33,1933,1933,0.65,1.7
236129,BEAN CURD WITH CHINESE MUSHROOMS,False,False,False,,1,1,1977,1977,3.75,3.75
309378,FILET OF CABRILLA BROILED LEMON ANCHOVY SAUCE,False,False,False,,1,1,1946,1946,3,3
30479,STEAK SIRLOIN WITH MUSHROOMS,False,False,False,,1,1,1901,1901,0,0
498687,SMOKED KENNEBECK SALMON,False,False,False,,1,1,1913,1913,0.4,0.4
323866,"ERNEST IRROY, EX QUALITY, CARTE D'OR 1928",False,False,False,,1,1,1939,1939,0,0
271938,ZITI WITH CALABRESE SAUCE,False,False,False,,1,1,1961,1961,0,0
405881,BROILED LIVE CODE,False,False,False,,1,1,1917,1917,0.65,0.65
26273,HOMINY FRITTERS CURRANT SAUCE,False,False,False,,1,1,1900,1900,0,0
243064,CAPPUCCINO DECAFFEINATO,False,False,False,,1,1,0,0,2.75,2.75
242872,"SAUMON DE GACHPE A LA FLECHE COMME JADIS, SAUCE CHORON",False,False,False,,1,1,1958,1958,0,0
345109,CELERY PHOSPHATE,False,False,False,,1,1,1938,1938,0,0
208138,CHILLED ALBERTA PEACHES WITH CREAM,False,False,False,,5,5,1969,1969,0,0
22632,"OYSTER STEW, PLAIN",False,False,False,,8,8,1900,1945,0.2,20
382332,CHICORY SALAD,False,False,False,,161,165,1899,1937,0.15,0.6
61532,"BEEF STEAK, FRIED ONIONS",True,False,False,,1,1,1901,1901,0,0
301764,CHICKEN AND HAM PIE 5/6,False,False,False,,1,1,1955,1955,0,0
105143,"SPANISH MACKEREL, BROILED, MAITRE D'HOTEL",False,False,False,,1,1,1901,1901,0,0
286273,OYSTER MORNAY (6),False,False,False,,2,2,1963,1963,0,0
243827,"BROILED SWORDFISH STEAK FLORIDA, FRENCH FRIED POTATOES",False,False,False,,1,1,1985,1985,2.75,2.75
312235,VINTNER'S SAUTERNE,False,False,False,,3,3,1943,1946,0.3,0.3
4224,TABLE CELERY,False,False,False,,237,251,1892,1969,0.05,35
236950,ASSORTED FRENCH CHEESE,False,False,False,,3,3,1958,1958,,
436847,POLAND WATER STILL,False,False,False,,1,1,1914,1914,0.4,0.4
288462,NEW YORK BONELESS SIRLOIN,False,False,False,,1,1,1963,1963,4.25,4.25
128307,"PAN ROAST, LITTLE NECKS",False,False,False,,1,1,1900,1900,0.5,0.5
51079,FRIED MAIDEN SOLE,False,False,False,,6,6,1900,1900,0,0
204376,ROASTED RIB EYE STEAK ON THE BONE (2 PERS) SHALLOT SAUCE,False,False,False,,1,1,0,0,58,58
317622,MCCALLUM'S PERFECT SCOTCH WHISKEY,False,False,False,,1,1,1949,1949,0.75,0.75
292355,POTAGE WASHINGTON,False,False,False,,2,2,1955,1957,0,0
141696,VERMICELLES MIT RAHM,False,False,False,,6,6,1957,1983,0,0
27817,FLAGEOLETS BEANS,False,False,False,,2,2,1900,1900,0.5,0.5
148300,PENNE FACON GRAND-MERE,False,False,False,,1,1,0,0,0,0
36292,CONSOMMÉ À LA MONACO,False,False,False,,4,4,1900,1906,0,0
430611,FRUIT SALAD EN SEASON,False,False,False,,1,1,1914,1914,,
53274,EISCHAUM-NOCKEN,False,False,False,,2,2,1901,1901,0,0
439067,GATEAUX ST HONORE,False,False,False,,1,1,1895,1895,,
291973,BELGIAN ENDIVES IN BROWN BUTTER,False,False,False,,2,2,1959,1959,,
82285,"VEUVE CLICQOUT, GOLD LABEL, BRUT",False,False,False,,1,1,1900,1900,2,3.75
293589,CREAM CAROLINE SOUP,False,False,False,,1,1,1953,1953,0,0
292628,MARTIN'S V V O (20 YRS),False,False,False,,1,1,1957,1957,1.25,1.25
323927,CH BRANE-CANTENAC (CANTENAC) 1899,False,False,False,,1,1,1939,1939,0,0
114303,"OTARD, DUPUY & CO GOLD SEAL, 1820",False,False,False,,1,1,1892,1892,6,6
196860,HOLLANDAISE-SALAT,False,False,False,,1,1,1910,1910,0,0
251774,"SUPREME OF CHICKEN, SAUTE CACCIATORA",False,False,False,,1,1,1959,1959,0,0
476680,GREEN GODDESS,False,False,False,,2,2,0,0,,
174263,"HUEVOS RANCHEROS (FRIED EGGS ON TORTILLA, SERVED WITH TOMATO SAUCE)",False,False,False,,1,1,1966,1966,1.85,1.85
351534,GRENADINE COCKTAIL,False,False,False,,11,11,1932,1933,0,0
195402,MALTESER REIS-CREME,False,False,False,,2,2,1910,1910,0,0
423771,CLAM CHOWDER WITH WAFERS OR HOME-MADE BREAD (FRIDAY),False,False,False,,1,1,1915,1915,0.15,0.15
341541,"PRIME RIB OF BEEF, PAN GRAVY",True,False,False,,1,1,1934,1934,0.85,0.85
408167,CUP CAKES (3),False,False,False,,1,1,1917,1917,0.05,0.05
65783,ALTER SHERRY,False,False,False,,2,2,1901,1901,0,0
500686,"LOBSTER, FULL ORDER",False,False,False,,1,1,1913,1913,0.7,0.7
351394,"COFFEE ICE CREAM, CARAMEL SAUCE",False,False,True,,4,4,1933,1933,0,0
223420,CORNED BEEFON RUSSIAN RYE BREAD,False,False,False,,1,1,1965,1965,1.5,1.5
56692,ROAST TAME DUCK & JELLY,False,False,False,,2,2,1900,1900,0,0
217066,THE DE MENTHE,False,False,False,,10,10,1937,1972,,
