id,name,sponsor,event,venue,place,city,physical_description,physical_types,size,occasion,notes,call_number,call_number_suffix,keywords,language,date,year,location,location_type,currency,currency_symbol,status,page_count,dish_count
12579,,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,BANQUET,PROF,"SOUTHERN HOTEL,ST. LOUIS,MO.",ST. LOUIS,BROADSIDE; ILLUS; 5.5 X 8.75;,BROADSIDE,5.5X8.75,ANNUAL,WINES LISTED FOR EACH COURSE;,1900-2627,,,,1900-03-31T00:00:00Z,1900,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,,,,complete,2,22
25121,,HOLLAND HOUSE,LUNCHEON,COMMERCIAL,,,CARD;6X8.75;,CARD,6X8.75,DAILY,"ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE;",1900-517,,,,1900-01-25T00:00:00Z,1900,HOLLAND HOUSE,,Dollars,$,complete,2,546
21960,,BATTERY PARK HOTEL,DINNER,COMMERCIAL,"ASHVILLE, NC",ASHVILLE,BOOKLET; ILLUS; COL; 6 X 8;,BOOKLET,6X8,RELIGIOUS HOLIDAY,PRINTED ON PARCHMENT-LIKE PAPER; RED LION; DRAWING OF HOTEL; TIED WITH TWINE AND SEALING WAX; MOST OF BOOKLET CONSISTS OF INFORMATION AND PRAISE ABOUT THE HOTEL;,1898-432,,,,1898-12-25T00:00:00Z,1898,BATTERY PARK HOTEL,,,,complete,16,28
14523,,USMS,BREAKFAST,GOVT,SS ST PAUL,UNKNOWN,CARD;ILLUS;COL;4X6.25;,CARD,4X6.25,DAILY,FLAG;,1901-1304,,,,1901-05-15T00:00:00Z,1901,USMS,,,,complete,2,23
29808,,SOUTHERN PACIFIC,,,,,21.5x14cm folded; 21.5x28cm open,FOLDER,21.5X14;21.5X28,UNKNOWN,,1946-0037,WOTM,,,1946-01-01T00:00:00Z,1946,SOUTHERN PACIFIC,,Dollars,$,complete,4,78
23754,,HOLLAND SOCIETY,DINNER,PATR,HOTEL BRUNSWICK [NY?],NEW YORK,FOLDER; ILLUS; 8.75X12;,FOLDER,8.75X12,[SOC?],DUTCH; TOASTS; WINDMILL AND MILKMAID; SAILINGSHIP AND SEAL; TWO COPIES;,1889-004,,,,1889-01-08T00:00:00Z,1889,HOLLAND SOCIETY,,,,complete,4,55
33905,Spilker's Restaurant and Grill Room,SPILKER'S RESTAURANT AND GRILL ROOM,,,,,28x17.5cm folded; 28x35cm open,FOLDER,28X17.5;28X35,UNKNOWN,,1914-0606,WOTM,,,1914-06-09T00:00:00Z,1914,SPILKER'S RESTAURANT AND GRILL ROOM,,Dollars,$,complete,4,383
35176,Adams' Restaurant,ADAM'S RESTAURANT,,,,,,,,UNKNOWN,Portol᠂anquet,1913-0404,WOTM,,,1913-04-25T00:00:00Z,1913,ADAM'S RESTAURANT,,Dollars,$,complete,5,416
28580,,AMY'S,,,,,22x9cm folded; 22x36cm open,FOLDER,22X9;22X36,UNKNOWN,,1985-0016,WOTM,,,1985-01-01T00:00:00Z,1985,AMY'S,,Dollars,$,complete,3,60
28250,,S.S. NIEUW AMSTERDAM,,,,,29x21cm folded; 29x42cm open,FOLDER,29X21;29X42,UNKNOWN,,1965-0062,WOTM,,,1965-07-07T00:00:00Z,1965,S.S. NIEUW AMSTERDAM,,,,complete,4,34
25261,,ISMALIA TEMPLE,LUNCHEON,POL,"CATARACT HOUSE,NIAGARA FALLS,NY",NIAGARA FALLS,BROADSIDE; ILLUS; COL; 4.5 X 6.5;,BROADSIDE,4.5X6.5,COMPLIMENTARY/TESTIMONIAL,,1899-476,,,,1899-06-16T00:00:00Z,1899,ISMALIA TEMPLE,,,,complete,2,20
27147,,SEABOARD RAILWAY,DINNER,RAILROAD,,,7 1/2 x 5 in.,,7.5X5,UNKNOWN,"Features : ""Low Priced Meal Service.""",Soete 130,,,,,,SEABOARD RAILWAY,,,,complete,1,6
27163,,WESTERN PACIFIC,BREAKFAST,RAILROAD,The Feather River Route,UNKNOWN,9 x 6 1/2 in. fold. ; ill.,FOLDER,9X6.5,UNKNOWN,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,,,,1938-04-13T00:00:00Z,1938,WESTERN PACIFIC,,Dollars,$,complete,4,78
33877,Wiehl & Widman,WIEHL & WIDMAN,,,,,43x23cm,,43X23,UNKNOWN,fragile,1914-0578,WOTM,,,1914-06-08T00:00:00Z,1914,WIEHL & WIDMAN,,Dollars,$,complete,2,227
26299,,ASTOR HOUSE,DINNER,COMMERCIAL,NEW YORK,NEW YORK,FOLDER; ILLUS; 7 X 10;,FOLDER,7X10,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-061,,,,1900-01-06T00:00:00Z,1900,ASTOR HOUSE,,Dollars,$,complete,4,479
24382,,?,BANQUET,SOC,COPENHAGEN,COPENHAGEN,BROADSIDE; 3.75 X 5.75;,BROADSIDE,3.75X5.75,UNKNOWN,MENU IN DANISH;,1898-028,,,,1898-01-14T00:00:00Z,1898,UNKNOWN,,,,complete,2,13
22110,,SPRINGFIELD CALEDONIANS,15NTH BURNS ANNIVERSARY,SOC,HOTEL WORTHY,UNKNOWN,BOOKLET; ILLUS; 4.25 X 6.5;,BOOKLET,4.25X6.5,ANNIVERSARY,COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;,1898-057,,,,1898-01-25T00:00:00Z,1898,SPRINGFIELD CALEDONIANS,,,,complete,8,19
29494,,CASINA DELLE ROSE & LUCCIOLA,,,,,27x19.5cm folded; 27x39cm open,FOLDER,27X19.5;27X39,UNKNOWN,,1955-0041,WOTM,,,1955-01-01T00:00:00Z,1955,CASINA DELLE ROSE & LUCCIOLA,,Italian Lire,L,complete,6,188
30534,,HOTEL ST. REGIS,,,,,13x9cm folded; 13x16.5cm open,FOLDER,13X9;13X16.5,UNKNOWN,National Association of Book Publishers,1937-0008,WOTM,,,1937-01-20T00:00:00Z,1937,HOTEL ST. REGIS,,,,complete,2,8
34398,Copley Plaza,COPLEY PLAZA,,,,,20.5x12.5cm folded; 20.5x25cm open,FOLDER,20.5X12.5;20.5X25,UNKNOWN,Massachusetts Bankers Association,1913-0021,WOTM,,,1913-01-08T00:00:00Z,1913,COPLEY PLAZA,,,,complete,5,17
