LoanAmount,City,State,Zip,NAICSCode,BusinessType,NonProfit,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,YearApproved,Lender,Lender 1,Lender_clean,Lender 2,CD
57600,HONOLULU,HI,96817,444130,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,5,04/29/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
18600,HONOLULU,HI,96817,621112,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,3,04/28/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
123300,KANEOHE,HI,96744,238220,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,8,04/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
68600,KIHEI,HI,96753,238220,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
14995,KAILUA KONA,HI,96740,713940,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,05/14/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
109100,KAUNAKAKAI,HI,96748,444190,CORPORATION,,WHITE,MALE OWNED,Non-Veteran,12,04/13/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
140400,WAIMANALO,HI,96795,236115,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,13,04/13/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
6700,KAILUA KONA,HI,96740,424940,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
67455,WAIMEA,HI,96743,531210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/13/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
20800,HONOLULU,HI,96815,531210,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,1,05/19/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
8800,KALAHEO,HI,96741,541430,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,05/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
39200,KAILUA KONA,HI,96734,541214,LIMITED LIABILITY COMPANY(LLC),,ASIAN,MALE OWNED,Non-Veteran,3,04/29/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-02
4100,HONOLULU,HI,96814,621399,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,05/08/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
109800,HONOLULU,HI,96821,722515,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,14,04/03/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
51750,KAILUA KONA,HI,96734,236220,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
20900,KAILUA KONA,HI,96734,812112,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,0,05/13/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
24700,HONOLULU,HI,96814,621210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/05/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
11000,HONOLULU,HI,96813,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/14/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
128440,KAHULUI,HI,96732,624410,NON-PROFIT CHILDCARE CENTER,Y,UNANSWERED,UNANSWERED,Unanswered,17,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
16822,AIEA,HI,96701,448310,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
22200,HONOLULU,HI,96814,611519,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/08/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
40000,HONOLULU,HI,96813,611110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6312.5,HONOLULU,HI,96825,484210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/03/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
35700,HONOLULU,HI,96816,611610,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,0,05/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
20000,HONOLULU,HI,96816,812990,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,05/20/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
34600,HONOLULU,HI,96822,311813,LIMITED LIABILITY COMPANY(LLC),,ASIAN,FEMALE OWNED,Non-Veteran,18,04/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
127070,KAHULUI,HI,96732,424930,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/12/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
5000,HONOLULU,HI,96814,423390,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/08/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
5600,HILO,HI,96720,448150,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/08/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
13585,KAILUA KONA,HI,96740,711510,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,2020-04-30,2020,WebBank,WebBank,,,HI-02
14400,HILO,HI,96720,611610,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,12,04/09/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
52940,HONOLULU,HI,96814,621111,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,7,04/16/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
1400,WAILUKU,HI,96793,711310,SOLE PROPRIETORSHIP,,WHITE,MALE OWNED,Non-Veteran,1,05/08/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-02
4700,HONOLULU,HI,96813,722310,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,1,04/16/2020,2020,"Readycap Lending, LLC",Readycap Lending,"READYCAP LENDING, LLC",LLC,HI-01
8125,WAILUKU,HI,96793,541990,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/13/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
71400,AIEA,HI,96701,621111,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,5,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
28537,HILO,HI,96720,441310,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,1,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
3700,MILILANI,HI,96789,611710,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,05/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
